#group,false,false,true,true,false,false,true,true,true,true
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,double,string,string,string,string
#default,mean,,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,car,class
,,0,2023-09-30T22:32:47.265422035Z,2023-09-30T23:32:47.265422035Z,2023-09-30T23:02:40Z,0,bus_current,daybreak_motor_controller,Daybreak,motor_bus
,,0,2023-09-30T22:32:47.265422035Z,2023-09-30T23:32:47.265422035Z,2023-09-30T23:02:50Z,0,bus_current,daybreak_motor_controller,Daybreak,motor_bus
,,0,2023-09-30T22:32:47.265422035Z,2023-09-30T23:32:47.265422035Z,2023-09-30T23:03:00Z,0,bus_current,daybreak_motor_controller,Daybreak,motor_bus
,,0,2023-09-30T22:32:47.265422035Z,2023-09-30T23:32:47.265422035Z,2023-09-30T23:03:10Z,0,bus_current,daybreak_motor_controller,Daybreak,motor_bus
,,0,2023-09-30T22:32:47.265422035Z,2023-09-30T23:32:47.265422035Z,2023-09-30T23:03:20Z,0,bus_current,daybreak_motor_controller,Daybreak,motor_bus
,,0,2023-09-30T22:32:47.265422035Z,2023-09-30T23:32:47.265422035Z,2023-09-30T23:03:30Z,0,bus_current,daybreak_motor_controller,Daybreak,motor_bus
,,0,2023-09-30T22:32:47.265422035Z,2023-09-30T23:32:47.265422035Z,2023-09-30T23:03:40Z,0,bus_current,daybreak_motor_controller,Daybreak,motor_bus
,,0,2023-09-30T22:32:47.265422035Z,2023-09-30T23:32:47.265422035Z,2023-09-30T23:03:50Z,2.09292003086635,bus_current,daybreak_motor_controller,Daybreak,motor_bus
,,0,2023-09-30T22:32:47.265422035Z,2023-09-30T23:32:47.265422035Z,2023-09-30T23:04:00Z,1.73891566016457,bus_current,daybreak_motor_controller,Daybreak,motor_bus
,,0,2023-09-30T22:32:47.265422035Z,2023-09-30T23:32:47.265422035Z,2023-09-30T23:04:10Z,2.79117822647095,bus_current,daybreak_motor_controller,Daybreak,motor_bus
